folder,Filename,ID,Case,Status,Site,Grey_patch,x,y,R,G,B,h,s,v,l_lab,a_lab,b_lab
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1560,800,34536.0,34081.0,53093.0,241.43594360351562,0.35808858275413513,0.810147225856781,58.203125,18.0,-37.84375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1537,787,33408.0,33152.0,52157.0,240.80821228027344,0.36438053846359253,0.7958648204803467,56.829833984375,18.015625,-38.046875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1536,762,32673.0,31424.0,49769.0,244.0850372314453,0.36860284209251404,0.7594262361526489,54.345703125,18.71875,-36.578125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1535,777,33749.0,33383.0,49979.0,241.32321166992188,0.33205944299697876,0.7626306414604187,56.65283203125,15.71875,-33.515625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1569,761,35369.0,31904.0,50673.0,251.07676696777344,0.37039443850517273,0.773220419883728,55.89599609375,21.46875,-36.078125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1572,771,34044.0,32003.0,51690.0,246.22035217285156,0.3808666467666626,0.7887388467788696,55.74951171875,20.671875,-38.609375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1576,785,32535.0,32831.0,51576.0,239.06727600097656,0.3691832721233368,0.7869992852210999,56.0546875,17.234375,-37.875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1539,806,34439.0,33798.0,53159.0,241.98646545410156,0.36420923471450806,0.8111543655395508,57.965087890625,18.71875,-38.5
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1536,778,34918.0,32269.0,52015.0,248.04922485351562,0.3796212077140808,0.7936980128288269,56.353759765625,21.453125,-38.484375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1528,790,34650.0,31638.0,51971.0,248.88800048828125,0.39123737812042236,0.7930266261100769,55.645751953125,22.640625,-39.59375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1570,783,36188.0,32942.0,54022.0,249.23907470703125,0.3902113139629364,0.8243228793144226,57.769775390625,23.484375,-40.734375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1549,762,33720.0,33299.0,52038.0,241.34799194335938,0.36010217666625977,0.7940489649772644,57.012939453125,17.859375,-37.46875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1542,800,33968.0,32957.0,54634.0,242.79835510253906,0.3967674970626831,0.8336613774299622,57.183837890625,21.734375,-42.828125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1531,810,34283.0,33428.0,53757.0,242.5234832763672,0.3781646192073822,0.8202792406082153,57.60498046875,19.859375,-40.203125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1572,802,33802.0,33301.0,55185.0,241.3736114501953,0.3965570032596588,0.842069149017334,57.647705078125,21.40625,-43.5
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1548,799,33781.0,33945.0,53537.0,239.50192260742188,0.36901575326919556,0.8169222474098206,57.9345703125,18.015625,-39.40625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1540,809,32942.0,33931.0,54437.0,237.23936462402344,0.39486005902290344,0.8306553959846497,57.879638671875,18.1875,-41.46875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G1,1554,799,33279.0,32214.0,51828.0,243.25787353515625,0.37844398617744446,0.7908445596694946,55.694580078125,19.8125,-38.984375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1530,888,24894.0,24515.0,40615.0,241.41241455078125,0.3964051902294159,0.6197451949119568,43.060302734375,16.59375,-33.90625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1537,913,23629.0,24261.0,39607.0,237.62673950195312,0.40341344475746155,0.6043640971183777,42.1875,14.65625,-32.9375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1525,896,23120.0,23824.0,40566.0,237.5788116455078,0.43006446957588196,0.6189974546432495,41.80908203125,16.09375,-35.625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1568,900,25560.0,23960.0,40750.0,245.7176971435547,0.41202446818351746,0.6218051314353943,42.767333984375,18.6875,-34.65625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1547,906,23508.0,24281.0,40510.0,237.27207946777344,0.41969871520996094,0.6181429624557495,42.327880859375,15.5625,-34.796875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1538,908,25407.0,24431.0,39632.0,243.8523712158203,0.3835536241531372,0.6047455668449402,42.889404296875,16.328125,-31.78125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1558,917,24541.0,24872.0,39972.0,238.71298217773438,0.3860451281070709,0.609933614730835,43.218994140625,14.515625,-32.1875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1566,880,25084.0,25461.0,40860.0,238.56617736816406,0.38609883189201355,0.6234836578369141,44.097900390625,14.859375,-32.875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1568,913,25478.0,25672.0,40143.0,239.20626831054688,0.3653189241886139,0.6125429272651672,44.384765625,13.96875,-30.625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1541,876,23786.0,24302.0,39786.0,238.06500244140625,0.4021514058113098,0.6070954203605652,42.254638671875,14.953125,-33.125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1529,917,23244.0,24250.0,40424.0,236.4866180419922,0.42499494552612305,0.6168307065963745,42.22412109375,15.140625,-34.65625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1531,873,24527.0,24809.0,39506.0,238.87042236328125,0.37915748357772827,0.6028228998184204,42.98095703125,14.25,-31.375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1524,911,24515.0,24573.0,39219.0,239.76333618164062,0.37492021918296814,0.5984435677528381,42.657470703125,14.578125,-31.28125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1538,884,24217.0,25508.0,39725.0,235.00515747070312,0.3903838098049164,0.6061646342277527,43.780517578125,12.40625,-30.71875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1554,887,25562.0,24740.0,40693.0,243.09158325195312,0.3920329809188843,0.6209353804588318,43.536376953125,16.6875,-33.140625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1566,887,24503.0,25308.0,39680.0,236.8175506591797,0.3824848234653473,0.6054779887199402,43.5791015625,13.296875,-31.03125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1526,888,24725.0,25063.0,39438.0,238.6216278076172,0.3730665147304535,0.6017853021621704,43.3349609375,13.921875,-30.8125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1570,894,24552.0,24436.0,40139.0,240.44322204589844,0.391215443611145,0.6124818921089172,42.7001953125,15.90625,-33.296875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1556,890,25282.0,24183.0,39400.0,244.33331298828125,0.38621819019317627,0.6012054681777954,42.535400390625,16.515625,-31.765625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1544,902,24452.0,23975.0,39711.0,241.81875610351562,0.3962629437446594,0.6059510111808777,42.22412109375,16.40625,-33.15625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1562,889,23936.0,24714.0,38839.0,236.8677520751953,0.38371220231056213,0.5926451683044434,42.7001953125,12.953125,-30.34375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1552,903,24787.0,25360.0,40970.0,237.87554931640625,0.3949962556362152,0.6251621246337891,44.04296875,14.734375,-33.265625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1545,887,25279.0,24532.0,40885.0,242.7407684326172,0.3999754786491394,0.6238651275634766,43.231201171875,17.3125,-34.21875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1546,895,24812.0,24854.0,40279.0,239.8370819091797,0.38399651646614075,0.6146181225776672,43.34716796875,15.09375,-32.578125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G2,1538,872,24103.0,24003.0,40371.0,240.36656188964844,0.40543946623802185,0.616021990776062,42.236328125,16.71875,-34.640625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1560,993,17086.0,17540.0,29198.0,237.75099182128906,0.41482284665107727,0.4455329179763794,30.743408203125,11.71875,-26.390625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1579,988,16836.0,17508.0,28872.0,236.65005493164062,0.41687434911727905,0.4405584931373596,30.43212890625,11.28125,-25.9375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1567,1010,18254.0,17699.0,29131.0,242.9128875732422,0.39243412017822266,0.4445105791091919,31.23779296875,12.578125,-25.265625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1569,1019,17789.0,17575.0,29028.0,241.12110900878906,0.39455002546310425,0.442938894033432,30.902099609375,12.15625,-25.5
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1538,1010,17800.0,18203.0,29076.0,237.85562133789062,0.38781115412712097,0.443671315908432,31.683349609375,10.8125,-24.578125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1576,1020,17030.0,16891.0,29055.0,240.6856231689453,0.4186541736125946,0.4433508813381195,29.852294921875,13.53125,-27.46875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1544,999,17166.0,17643.0,29902.0,237.75282287597656,0.4259245991706848,0.4562752842903137,30.92041015625,12.65625,-27.65625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1545,998,16037.0,16846.0,28720.0,236.17283630371094,0.4416084885597229,0.43823909759521484,29.425048828125,11.90625,-27.21875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1550,1009,17482.0,17661.0,28291.0,239.0063934326172,0.3820648193359375,0.4316929876804352,30.682373046875,11.09375,-24.265625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1575,984,19089.0,18720.0,30203.0,241.92807006835938,0.38019394874572754,0.460868239402771,32.8857421875,12.25,-25.15625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1543,1006,17970.0,16978.0,30141.0,244.52175903320312,0.43671396374702454,0.4599221646785736,30.523681640625,15.46875,-28.90625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1563,990,16256.0,17646.0,29343.0,233.62725830078125,0.4460006356239319,0.4477454721927643,30.517578125,11.0,-27.0625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1574,1010,15968.0,17936.0,28687.0,230.7162628173828,0.44337141513824463,0.43773555755615234,30.706787109375,8.78125,-25.203125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1548,1003,21112.0,22686.0,31595.0,230.9911346435547,0.3317929208278656,0.48210880160331726,38.214111328125,6.296875,-20.203125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1559,991,16141.0,17385.0,28512.0,233.96653747558594,0.43388739228248596,0.43506523966789246,29.998779296875,10.40625,-25.6875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1556,1016,16362.0,17391.0,29267.0,235.21580505371094,0.4409402012825012,0.4465858042240143,30.2001953125,11.5,-27.25
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1534,985,17860.0,18430.0,31363.0,237.4672393798828,0.4305390417575836,0.4785687029361725,32.440185546875,12.953125,-28.984375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1567,1002,17516.0,17247.0,28870.0,241.3886260986328,0.4025977551937103,0.4405279755592346,30.35888671875,12.6875,-26.046875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1561,999,16963.0,18098.0,27126.0,233.2992401123047,0.37465885281562805,0.4139162302017212,30.84716796875,7.640625,-20.875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1551,996,18942.0,17944.0,28587.0,245.62623596191406,0.37230199575424194,0.43620964884757996,31.683349609375,12.265625,-23.296875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1550,998,17340.0,18635.0,30001.0,233.863037109375,0.42201918363571167,0.4577859044075012,32.135009765625,10.328125,-26.0625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1563,994,17280.0,17763.0,29100.0,237.5482177734375,0.40618544816970825,0.444037526845932,30.94482421875,11.53125,-25.75
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1551,984,18476.0,17721.0,29268.0,243.923095703125,0.3945263922214508,0.4466010630130768,31.34765625,13.015625,-25.390625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1536,981,18942.0,19237.0,31260.0,238.56307983398438,0.3940497934818268,0.4769970178604126,33.642578125,12.15625,-26.765625
